date,open,high,close,low
2019/9/18,1108.5,1150,1148.9,1108.18
2019/9/17,1094,1106.66,1094.01,1087
2019/9/16,1083,1103.95,1099,1083
2019/9/12,1066,1109.98,1099,1066
2019/9/11,1119.22,1119.97,1069.52,1068
2019/9/10,1134.3,1135,1123.85,1120.01
2019/9/9,1145,1148,1136.52,1135
2019/9/6,1144.5,1146.15,1142.49,1131
2019/9/5,1129,1144.9,1144,1128
2019/9/4,1140.8,1142.91,1125.01,1120.11
2019/9/3,1140,1151.02,1140,1128.56
2019/9/2,1139.99,1144.98,1138.76,1129
2019/8/30,1125,1146,1142,1123
2019/8/29,1105,1118.18,1113.1,1092.5
2019/8/28,1109,1123.19,1100.11,1083.01
2019/8/27,1117,1131.31,1109,1109
2019/8/26,1113,1128,1102.95,1096.68
2019/8/23,1105,1133.56,1130.1,1095.62
2019/8/22,1072.99,1104,1104,1070
2019/8/21,1070.1,1076.97,1066,1061.66
2019/8/20,1055,1073.68,1070,1050
2019/8/19,1061,1069.98,1055.88,1049.05
2019/8/16,1049.84,1075.58,1054.6,1041
2019/8/15,1028,1046.48,1044.9,1028
2019/8/14,1030.02,1051.9,1043.33,1030.02
2019/8/13,1016.16,1026,1017.95,1010.68
2019/8/12,1010.31,1020.1,1018.63,995.01
2019/8/9,978.5,980.95,962.03,958.99
2019/8/8,953.5,974,971.68,952
2019/8/7,949.5,955.53,945,945
2019/8/6,931,948,946.3,923.8
2019/8/5,945,954,942.43,940
2019/8/2,944,957.98,954.45,943
2019/8/1,976.51,977,959.3,953.02
2019/7/31,975,981.77,972.6,966.59
2019/7/30,976.5,983,978.93,971
2019/7/29,962.03,979.5,976.41,960.01
2019/7/26,961.97,971,965.03,958.55
2019/7/25,945.97,963.36,963,938.15
2019/7/24,958.31,959.9,946.36,944.69
2019/7/23,962.3,962.59,953.98,943.86
2019/7/22,960,964,957.02,950.25
2019/7/19,955,960.8,955.87,948
2019/7/18,961.5,963,947.5,947.18
2019/7/17,968,972.99,963.5,962.13
2019/7/16,975.45,982.3,968,965
2019/7/15,967.8,980.1,975.93,951.13
2019/7/12,981.3,991.5,986.09,980.01
2019/7/11,989.96,998.38,981.5,976
2019/7/10,980.93,990.58,982.52,977
2019/7/9,979.3,989,976.06,968.35
2019/7/8,995.05,997.9,984.86,975
2019/7/5,986,1006,999.82,976.3
2019/7/4,985.8,990.8,981.2,971.22
2019/7/3,1020,1023,987.9,981.5
2019/7/2,1025,1029.5,1025,1016
2019/7/1,1004.52,1035.6,1031.86,1000.22
2019/6/28,985.99,988.88,984,971.33
2019/6/27,985,1001,996.35,981.12
2019/6/26,985,985,979.86,971.22
2019/6/25,992,999,982.98,967
2019/6/24,978.3,999.69,987.1,975
2019/6/21,969.97,984.49,976.3,964.5
2019/6/20,932.5,975.5,975,932.2
2019/6/19,940,946.7,932.01,932.01
2019/6/18,917,920,917,902.6
2019/6/17,907,926.94,911.6,906.02
2019/6/14,911,932.3,913,910.02
2019/6/13,910,912.3,910,897
2019/6/12,906.22,910.99,906.7,894
2019/6/11,876,915.61,910.89,875
2019/6/10,857.98,878.95,871.08,840
2019/6/6,875.62,875.77,862.13,858
2019/6/5,884,886.26,871.6,870
2019/6/4,895,895.43,875.3,871
2019/6/3,892,901.35,892,886.28
2019/5/31,900.53,906.99,890,890
2019/5/30,910,919.99,905.3,891.22
2019/5/29,888.01,924.95,911.91,888.01
2019/5/28,877.99,907.49,888,875.02
2019/5/27,879.1,882.99,879,860.05
2019/5/24,865,885,878.5,864.44
2019/5/23,881,883.98,861,856.22
2019/5/22,894.98,904,888,880
2019/5/21,885,910,895,872.02
2019/5/20,900,900,884.96,871
2019/5/17,927.02,932.3,906.79,900.1
2019/5/16,919,932,929.91,905
2019/5/15,890.24,933,927,890.24
2019/5/14,885,906,886.57,873
2019/5/13,898.86,910.98,892,884
2019/5/10,875.66,910.78,907.12,868.19
2019/5/9,875,879.87,858.81,842.5
2019/5/8,860,901.8,884.4,860
2019/5/7,893.28,913.94,890,870.22
2019/5/6,925.5,935,906,893
2019/4/30,968,984.96,974,963.11
2019/4/29,945,989,971.97,935
2019/4/26,946.3,959.88,945,945
2019/4/25,968.79,973.99,952.37,951.22
2019/4/24,979.88,990,970,951.22
2019/4/23,951,981.22,974.95,949.2
2019/4/22,959.5,978.89,949.2,940.61
2019/4/19,943.96,960.95,952.56,931.31
2019/4/18,945.41,954.68,945.5,936.22
2019/4/17,938,955.51,952,925
2019/4/16,904.9,939.9,939.9,901.22
2019/4/15,931,939,907,907
2019/4/12,909,919.99,914,900.01
2019/4/11,948,950,925.2,905.55
2019/4/10,903,951.9,947.99,900
2019/4/9,903,908.2,905,892.51
2019/4/8,900,908,900.2,890.12
2019/4/4,840,865.8,865,836.2
2019/4/3,840.12,851.74,844.5,834.21
2019/4/2,859.99,859.99,850,836.06
2019/4/1,860,868.95,859,851
2019/3/29,835,866.68,853.99,830.17
2019/3/28,793.43,814.48,806.8,785.68
2019/3/27,781,793.88,788.5,775
2019/3/26,780,785.94,773,764.1
2019/3/25,786,788,775.6,773.3
2019/3/22,788.22,799.98,794,785
2019/3/21,788,792.8,785.75,781.5
2019/3/20,790,802.3,792.8,785
2019/3/19,803,807.92,792.61,792.3
2019/3/18,778.8,814.53,810.09,777
2019/3/15,776,787.5,777.3,764.85
2019/3/14,757,785,778,754
2019/3/13,745.5,760.75,754,745.5
2019/3/12,763.82,763.83,745.01,739
2019/3/11,740.04,766.95,758.54,740.04
2019/3/8,737.9,746.83,737.5,733.65
2019/3/7,762.22,762.22,748.6,745.56
2019/3/6,775,779.5,768,765.88
2019/3/5,785,789.55,779.78,775.88
2019/3/4,795,798.33,781.86,777.22
2019/3/1,761.5,790,789.3,761
2019/2/28,737.9,763.42,755.01,736.95
2019/2/27,733,758.02,740.7,731
2019/2/26,747.8,749.18,727.35,726
2019/2/25,730.75,744.44,742.33,717.99
2019/2/22,717,728.49,726.01,714.1
2019/2/21,720,730.48,720.25,717
2019/2/20,735,735,722,716.06
2019/2/19,740.96,742.5,730.76,726.66
2019/2/18,731,744.95,740,731
2019/2/15,734.88,734.88,724.78,723.02
2019/2/14,731.2,743.66,737.16,730.14
2019/2/13,723,736.16,735.25,717.22
2019/2/12,723,725.49,717.92,715.2
2019/2/11,695,729.5,725.3,688.18
2019/2/1,697.04,699,692.67,689.61
2019/1/31,680,689.6,689.6,677.56
2019/1/30,684.99,686.22,676,676
2019/1/29,677.5,688,685,668
2019/1/28,684,693.98,677,676.03
2019/1/25,675.88,684.9,679.7,669.93
2019/1/24,670.3,677.83,672.5,664.68
2019/1/23,667.22,674.5,665.66,663.13
2019/1/22,686,686,671,665.22
2019/1/21,690,698.88,686.98,681.88
2019/1/18,665,690.2,683.61,661.5
2019/1/17,663,669.7,659.25,655.8
2019/1/16,658,665.65,661.1,653.6
2019/1/15,627.86,661.5,659.98,625
2019/1/14,633,635.89,624.6,621.55
2019/1/11,625,637,635.88,618.75
2019/1/10,617.13,624.88,618.77,610.25
2019/1/9,609.99,626.16,616.12,609.04
2019/1/8,605.5,612,604.79,600.28
2019/1/7,608,612,605.49,602.22
2019/1/4,587.28,607.67,602,582.02
2019/1/3,599.97,601.66,590,585.8
2019/1/2,609.98,612,598.98,595.01
2018/12/28,563.3,596.4,590.01,560
2018/12/27,570,571.85,563,562.22
2018/12/26,563.81,568.4,560.08,558
2018/12/25,562.22,567.5,565.79,553.61
2018/12/24,563.5,570.91,568,558
2018/12/21,571,573.45,567.41,562.21
2018/12/20,576.22,581.5,574.5,568.89
2018/12/19,589,590.99,577.8,576.03
2018/12/18,585.88,591.54,590.94,585
2018/12/17,592.57,595.97,590.52,585.01
2018/12/14,598.01,599.8,592.96,592
2018/12/13,590,606.88,601.75,589.6
2018/12/12,588.79,589.2,589,582.8
2018/12/11,577,586.55,582.99,577
2018/12/10,576,587.5,577.23,574.18
2018/12/7,595.6,598.86,587,584.7
2018/12/6,600,605.98,591.8,590.36
2018/12/5,597.5,616.5,610.1,595
2018/12/4,602.99,604.26,602.23,595
2018/12/3,589,605,601.2,584.77
2018/11/30,557,568.89,565,553
2018/11/29,566.03,569.8,551.6,549.01
2018/11/28,550.85,559.19,557,545.5
2018/11/27,552,554.99,548.1,546.5
2018/11/26,558,560.2,552.11,552
2018/11/23,564,567.3,556.9,556.9
2018/11/22,565.15,567.33,564.5,558
2018/11/21,554,568.9,564.7,553.68
2018/11/20,565,568,561.6,560
2018/11/19,560.3,572,569.02,559.11
2018/11/16,561,566,560,558.03
2018/11/15,558.8,564.8,559.7,555.5
2018/11/14,569.96,569.96,555.1,552.55
2018/11/13,546.12,570,570,543
2018/11/12,553,554.2,552,536.8
2018/11/9,567.22,569,562,562
2018/11/8,574,577,570.34,568
2018/11/7,569,574.95,566.4,562.01
2018/11/6,574,574.16,566,558.01
2018/11/5,593,593,575.8,571.77
2018/11/2,585,600,599.9,572.24
2018/11/1,555,585.5,563,551.25
2018/10/31,527,555,548.9,522
2018/10/30,510,543,524,509.02
2018/10/29,549.09,549.09,549.09,549.09
2018/10/26,619,625,610.1,607.98
2018/10/25,620,622.5,619,608.58
2018/10/24,628.11,650,636.99,620
2018/10/23,689,689,641.74,635
2018/10/22,675,702.02,693,675
2018/10/19,638,675,670,635.08
2018/10/18,660,660,645.94,644.97
2018/10/17,675,677.3,665.72,649.9
2018/10/16,665.98,679.53,667.14,662.01
2018/10/15,669.49,671.95,666.9,660.03
2018/10/12,651,672.68,668,650.58
2018/10/11,635.01,668.94,644.99,635.01
2018/10/10,697.26,698,670.92,669.69
2018/10/9,686.9,698.71,695,685.9
2018/10/8,715.41,719,686.15,686.15
2018/9/28,726.7,733.2,730,718.88
2018/9/27,727.5,728,724,715.4
2018/9/26,702.1,732.68,724.93,701.99
2018/9/25,695,705.77,697.02,693.26
2018/9/21,682,700.01,700.01,680.01
2018/9/20,685.2,686.9,678.55,677.36
2018/9/19,666.58,686,681.42,666
2018/9/18,643,668,666.7,642.22
2018/9/17,645,652.96,645.81,641.06
2018/9/14,633.98,649.78,642.9,628.53
2018/9/13,638,642,631.98,620
2018/9/12,643,644.87,630,628.01
2018/9/11,645.57,650.97,646,640.63
2018/9/10,652.2,653.81,644.8,640.7
2018/9/7,645.5,658.03,650.97,645.14
2018/9/6,652,659.26,644,640
2018/9/5,675,676.99,657.79,657
2018/9/4,666.8,676,675.04,661.6
2018/9/3,652,667.67,666.21,650.8
2018/8/31,676.25,677,659.19,656.5
2018/8/30,688.21,692.6,680.4,679.01
2018/8/29,682,688.88,685.85,679.1
2018/8/28,693,693.78,681,678.55
2018/8/27,662,687.3,687.3,662
2018/8/24,669,669,660.3,656.46
2018/8/23,671.7,678.5,670.21,665.18
2018/8/22,671,673.2,667.7,663
2018/8/21,647,672.3,671.49,647
2018/8/20,632.45,645.55,644.79,616.86
2018/8/17,657.5,657.5,634.92,630.01
2018/8/16,652,668.5,649,640
2018/8/15,679.8,680,662.7,661
2018/8/14,679.22,684.5,680.5,673.51
2018/8/13,683,683,679.1,666.68
2018/8/10,691.88,694.77,687.15,684.2
2018/8/9,671,694.5,692.2,670.12
2018/8/8,687.02,689,676.34,671.87
2018/8/7,672.3,687.83,686.4,662.02
2018/8/6,677,684,669.68,662.25
2018/8/3,695,695,678.1,676.2
2018/8/2,715.97,715.97,695.23,687.88
2018/8/1,731.4,732.3,715,714.11
2018/7/31,720.3,727.88,726.39,719.21
2018/7/30,738.9,740.66,717.59,715
2018/7/27,736,744.3,738.87,730
2018/7/26,748.9,748.9,735.9,734.23
2018/7/25,746.95,749.88,743.84,740.01
2018/7/24,732.68,747.3,745.5,723
2018/7/23,736,741.15,732,720.01
2018/7/20,741.5,743.13,741.35,728
2018/7/19,739,743.95,741.45,735.02
2018/7/18,742.43,749.69,737.97,735
2018/7/17,757,757,742.5,736.02
2018/7/16,752.3,764.11,754.55,751.03
2018/7/13,742.3,748.1,747,735.12
2018/7/12,718,741.17,737.5,718
2018/7/11,710,724,719.43,702.22
2018/7/10,729,731.5,725.69,713.33
2018/7/9,720.03,729.86,727.34,719.73
2018/7/6,707,720.93,714,699.26
2018/7/5,700,716.2,702.49,700
2018/7/4,692,700,690.77,688
2018/7/3,709.76,715.78,694.88,678.23
2018/7/2,734.52,739.33,711,703
2018/6/29,712.3,732.3,731.8,705
2018/6/28,714,719,710.97,697
2018/6/27,752,757,722.55,721
2018/6/26,765.31,769.88,755,747
2018/6/25,766,778.97,765.56,764.9
2018/6/22,754,767,766.8,750
2018/6/21,765.22,778.89,759.88,758.77
2018/6/20,741,765,763.54,741
2018/6/19,769,769,737.92,737
2018/6/15,773.2,778.58,773.4,769.1
2018/6/14,790,793.8,786.07,775.18
2018/6/13,800,802.62,790.5,788.88
2018/6/12,778,803.5,799.5,776.5
2018/6/11,776.05,786,775.78,768.33
2018/6/8,780,785.9,777.51,770
2018/6/7,789.98,795.55,781,778.9
2018/6/6,788,800.95,786.02,782.3
2018/6/5,786.5,794.7,788.85,777.23
2018/6/4,752.35,782.9,781.96,745.88
2018/6/1,751.13,754.98,745,738.76
2018/5/31,730.25,751.62,751.58,730.24
2018/5/30,727.22,737.3,725.68,720.05
2018/5/29,738.8,750,731.4,731.28
2018/5/28,718,740.66,740.5,715.12
2018/5/25,712,727,716.82,712
2018/5/24,720,728.66,715,713
2018/5/23,740,740,723.66,723.58
2018/5/22,735.22,739.84,739.6,730.02
2018/5/21,744,747.3,734.8,732.48
2018/5/18,723.99,741,739.08,721.19
2018/5/17,735.12,737.5,727.2,724
2018/5/16,740,745.66,734.22,733.28
2018/5/15,746,746.44,743.23,734
2018/5/14,724,743,742,724
2018/5/11,718.69,730.5,717.66,715.7
2018/5/10,703.5,716,714.33,703.5
2018/5/9,709.08,712.3,701.99,697.12
2018/5/8,698.03,712.13,708.9,698.03
2018/5/7,659.95,701.88,697.88,657.77
2018/5/4,670.98,674.83,662.95,660.57
2018/5/3,666,673.68,670.84,658
2018/5/2,660,668.99,667.01,645.06
2018/4/27,685.25,688.36,663.98,655
2018/4/26,692,692.28,677.93,673
2018/4/25,689,692,691,683.02
2018/4/24,676,693.5,689.88,675
2018/4/23,666.01,680.33,673.89,666.01
2018/4/20,681,694,670.01,668.23
2018/4/19,659.85,680,680,656.66
2018/4/18,671,671,656,645
2018/4/17,685,685.38,666,665.6
2018/4/16,680.58,686.85,681.89,677
2018/4/13,698.5,701,686.9,685.08
2018/4/12,704,706.88,694.21,692.22
2018/4/11,710,714.78,705,703.02
2018/4/10,704.8,708.5,708.01,698.46
2018/4/9,697.1,705.43,698.18,690.15
2018/4/4,682,700.43,694.02,680.38
2018/4/3,678,687,678.5,675.39
2018/4/2,680,691,680.1,674.11
2018/3/30,686,693.5,683.58,679.88
2018/3/29,682.2,697.85,689.5,658.41
2018/3/28,699.97,703,682.1,669
2018/3/27,723,725.88,714.56,704
2018/3/26,708,715.06,714,701.88
2018/3/23,701,723.49,711.04,700.08
2018/3/22,744,748,726.5,724.01
2018/3/21,750.11,753.11,742.2,740
2018/3/20,750,752,747.5,740
2018/3/19,743.97,753.99,753.3,739
2018/3/16,747.6,753.98,740,738.88
2018/3/15,728.02,747,746.5,728.02
2018/3/14,709.67,728.08,726.85,707.22
2018/3/13,723,726.6,710,710
2018/3/12,729.55,733.92,723.91,722.77
2018/3/9,727.55,732.57,728.4,723.5
2018/3/8,714,724,722.99,708
2018/3/7,715,724,709.95,708.99
2018/3/6,725,727.6,718,697.13
2018/3/5,738.18,742,720.23,717.03
2018/3/2,738,743.56,736.1,730
2018/3/1,728,746.85,741.99,723.77
2018/2/28,732,742.3,725.33,719
2018/2/27,749,756,737.8,737.22
2018/2/26,746.88,752.05,744.01,733.02
2018/2/23,747,756.56,742.5,737
2018/2/22,727.3,744,742.4,723.24
2018/2/14,720,720,719,712.22
2018/2/13,705.02,714.82,711.99,704.5
2018/2/12,691,705.5,698,685.2
2018/2/9,680,689.89,683,658
2018/2/8,682.2,718,700.77,682.2
2018/2/7,720,723.88,683.6,682.01
2018/2/6,703,722.6,708.15,703
2018/2/5,727.22,729.96,718.35,705.6
2018/2/2,752.22,753.23,740.9,725
2018/2/1,767,767.3,757.36,752.92
2018/1/31,739,771.71,764.7,739
2018/1/30,736,748.77,742.02,730.02
2018/1/29,778.76,779.67,736.4,735
2018/1/26,767.24,777.4,777.33,764
